iter	Passed	Remaining
1411	196466	81814
1412	196580	81665
1413	196730	81530
1414	196891	81400
1415	197052	81270
1416	197201	81135
1417	197220	80946
1418	197373	80813
1419	197520	80677
1420	197673	80543
1421	197688	80354
1422	197859	80228
1423	198011	80094
1424	198190	79971
1425	198200	79780
1426	198208	79588
1427	198396	79469
1428	198641	79373
1429	198872	79271
1430	198887	79082
1431	198896	78891
1432	199097	78777
1433	199107	78587
1434	199250	78450
1435	199352	78297
1436	199598	78200
1437	199760	78070
1438	199903	77933
1439	200090	77813
1440	200240	77678
1441	200444	77564
1442	200698	77469
1443	201005	77395
1444	201203	77278
1445	201367	77149
1446	201560	77030
1447	201721	76899
1448	201888	76770
1449	201905	76585
1450	202082	76459
1451	202243	76328
1452	202382	76189
1453	202555	76062
1454	202729	75936
1455	202893	75806
1456	203049	75673
1457	203213	75543
1458	203337	75397
1459	203347	75210
1460	203499	75076
1461	203509	74889
1462	203515	74701
1463	203522	74513
1464	203551	74334
1465	203718	74205
1466	203735	74022
1467	203952	73911
1468	204232	73824
1469	204246	73639
1470	204257	73454
1471	204462	73339
1472	204681	73229
1473	204857	73103
1474	205012	72970
1475	205169	72838
1476	205345	72712
1477	205439	72557
1478	205598	72425
1479	205607	72240
1480	205769	72109
1481	205945	71983
1482	206121	71857
1483	206293	71730
1484	206419	71586
1485	206475	71418
1486	206634	71286
1487	206787	71152
1488	206941	71018
1489	207084	70881
1490	207270	70758
1491	207423	70624
1492	207588	70493
1493	207756	70364
1494	207899	70226
1495	208032	70085
1496	208186	69951
1497	208353	69822
1498	208511	69689
1499	208658	69552
1500	208795	69412
1501	208951	69279
1502	208960	69097
1503	209123	68966
1504	209285	68834
1505	209473	68711
1506	209765	68622
1507	210002	68515
1508	210253	68412
1509	210461	68295
1510	210602	68156
1511	210750	68019
1512	210909	67886
1513	210994	67729
1514	211166	67601
1515	211363	67480
1516	211537	67351
1517	211681	67213
1518	211825	67075
1519	211985	66942
1520	212158	66813
1521	212171	66634
1522	212179	66454
1523	212338	66320
1524	212480	66182
1525	212589	66033
1526	212595	65853
1527	212737	65714
1528	212886	65578
1529	213046	65445
1530	213208	65313
1531	213420	65196
1532	213600	65069
1533	213728	64926
1534	213873	64788
1535	214060	64664
1536	214240	64536
1537	214395	64402
1538	214490	64249
1539	214506	64073
1540	214641	63932
1541	214804	63800
1542	214907	63650
1543	215059	63514
1544	215202	63376
1545	215562	63302
1546	215825	63199
1547	216178	63121
1548	216296	62975
1549	216436	62836
1550	216599	62703
1551	216757	62569
1552	216767	62392
1553	216915	62254
1554	217057	62116
1555	217211	61980
1556	217392	61852
1557	217543	61716
1558	217691	61579
1559	217712	61406
1560	217720	61229
1561	217876	61094
1562	218027	60958
1563	218171	60820
1564	218292	60675
1565	218304	60500
1566	218387	60345
1567	218540	60210
1568	218686	60072
1569	218841	59937
1570	219011	59806
1571	219174	59673
1572	219328	59538
1573	219503	59408
1574	219514	59234
1575	219674	59100
1576	219867	58975
1577	220054	58848
1578	220236	58720
1579	220375	58580
1580	220381	58406
1581	220515	58265
1582	220677	58131
1583	220875	58007
1584	221073	57883
1585	221409	57795
1586	221656	57683
1587	221932	57579
1588	222109	57449
1589	222120	57276
1590	222290	57144
1591	222442	57007
1592	222581	56867
1593	222752	56736
1594	222918	56603
1595	223116	56478
1596	223279	56344
1597	223420	56204
1598	223425	56031
1599	223433	55858
1600	223440	55685
1601	223605	55552
1602	223639	55386
1603	223656	55216
1604	223821	55083
1605	223994	54952
1606	224161	54819
1607	224184	54651
1608	224318	54511
1609	224493	54380
1610	224653	54246
1611	224816	54112
1612	224976	53977
1613	225140	53844
1614	225310	53711
1615	225476	53578
1616	225611	53437
1617	225764	53301
1618	225916	53165
1619	226090	53033
1620	226114	52866
1621	226273	52732
1622	226410	52591
1623	226441	52427
1624	226594	52290
1625	226742	52153
1626	226752	51984
1627	226913	51849
